5	0.1
rende	 	1
rese 	d	1
resen	t	1
retto	,	1
rgo c	i	1
rgome	n	1
ri ge	o	1
ri te	d	1
ri tr	a	1
ri; i	n	1
ria, 	e	1
ria..	I	1
ribui	r	1
ribuz	i	1
rie s	p	1
riegs	m	1
rine 	c	1	e	1	m	1
ripre	s	1
rispe	t	1
ristr	e	1
risul	t	1
riuti	l	1
rka W	o	1
rle..	C	1
rmich	e	1
rne d	i	1
rno".	 	1
ro de	l	1
ro di	 	2
ro il	 	2
rono 	c	1	l	1	t	1
ronoo	i	1	q	1
ronta	 	1	r	3
roodi	v	1
ropri	e	1
rossi	 	1
rques	t	1
rra c	o	1
rra d	'	1
rra m	o	1
rra z	o	1
rrque	s	1
rsari	;	1
rsero	o	1
rsi a	 	1	n	1
rsi c	o	1
rsi f	u	2
rsi s	c	1	p	1
rtame	n	1
rtant	o	1
rteci	p	1
rtico	l	1
rtire	 	1
ruppi	 	1
rynar	k	1
rze n	a	1
rzo d	e	1
s CC-	B	1
s leo	n	1
s uni	l	1
s √® 	u	1
sa gu	e	1
sabbi	o	1
sari;	 	1
sca K	r	1
sca d	e	1
sca e	 	1
scala	,	1
sche 	e	1
scita	 	1
scont	r	1
se co	o	1
se di	v	1
secon	d	1
senti	i	1
sere 	c	1
seroo	d	1
sette	m	3
si a 	p	1
si an	n	1
si co	n	1
si fu	r	2
si gr	u	1
si ne	l	1
si sc	o	1
si sp	o	1
sia g	l	1
sia q	u	1
sidde	t	1
sieme	 	1
sigli	a	1
sima 	l	1
sione	 	2
siste	n	1
sitoi	d	1
skaaM	a	1
smari	n	1
so e 	s	1
so, e	d	1
so, i	l	1
sopra	t	1
sotto	m	1	o	1
sovie	t	2
speci	a	1
spett	a	1
sponi	b	1
spora	d	1
spore	.	1
ssere	 	1
ssi g	r	1
ssito	i	1
sso e	 	1
sta d	e	1
stati	 	1
stent	i	1
stich	e	1
stili	t	1
sto f	r	1
sto n	o	1
sto r	i	1
straz	i	1
stret	t	1
strib	u	1
su pi	c	1
sulta	r	1
svolt	e	1
ta "g	u	1
ta de	g	1	l	1
ta la	 	1
ta le	e	1
ta ma	 	1
ta si	a	1
ta. D	i	1
tagli	e	1
tali 	e	1
tamen	t	1
tando	 	1
tanto	 	1
tari 	t	1
taria	,	1
taron	o	1
tarsi	 	3
tate 	c	1
tati 	b	1
te ca	m	1
te de	l	1
te fi	n	1
te mo	d	1
te, n	e	1
te; l	a	1
teatr	o	3
tecip	a	1
tedes	c	4
teela	 	1
teene	l	1
tembr	e	3
tende	n	1
tensa	 	1
tenti	 	1
tenut	o	1
teral	i	1
teran	d	1
tersi	 	1
tesi 	n	1
ti ba	l	1
ti na	v	1
ti o 	c	1
ti ti	p	1
ti: i	n	1
tica,	 	1
tiche	 	1	.	1
ticii	r	1
tico 	√	1	c	1	d	1
tico,	 	1
ticol	a	1
tiiin	 	1
tile,	 	1
tilit	√	1
tiliz	z	1
timen	t	1
tinua	r	1
tipic	i	1
tire 	d	1	l	1
tiva 	e	1
tive 	C	1
to ad	o	1
to de	l	1
to di	 	1
to ee	r	1
to es	s	1
to fr	a	1
to ne	l	1
to no	n	1
to ri	s	1
to so	t	1
to √®	 	1
to, a	l	1
to, d	a	1
to, e	d	1
tobre	 	1
toide	 	1
tomar	i	1
tooli	c	1
toria	.	1
tosto	 	2
tra g	r	1
tra i	l	1
tra l	e	1
traau	n	1
tradi	z	1
traff	i	1
trazi	o	1
tre 2	7	1
tre 9	0	1
tre l	i	1
trett	o	1
tri t	r	1
tribu	i	1	z	1
tro d	e	1	i	2
tro i	l	2
tta "	g	1
tta l	a	1	e	1
ttagl	i	1
ttand	o	1
tte; 	l	1
ttemb	r	3
tters	i	1
ttime	n	1
tto d	i	1
tto n	e	1
tto, 	d	1	e	1
ttobr	e	1
ttoma	r	1
ttool	i	1
ttost	o	2
ttutt	o	1
tuita	.	1
tus l	e	1
tutto	 	1
t√† l	e	1
t√† n	a	1	e	1
u pic	c	1
u piu	t	1
u tea	t	2
uaron	o	1
ubbli	c	2
ue pi	√	1
ue pu	√	1
ue, W	i	1
uelli	 	1
uerra	 	4
uesto	 	1
uette	;	1
ugno 	d	1
uida;	;	1
uindi	 	1
uire 	a	1
uita.	 	1
ultar	o	1
un fu	n	1
un'en	c	1
una i	n	1
uneen	e	1
ungo 	o	1	p	1
unila	t	1
unit√	†	2
unnba	c	1
unque	 	1
uoi p	a	1
uove.	 	1
uppi 	n	1
urant	e	1
urono	 	1	o	1
us le	o	1
uscit	a	1
usion	e	1
utili	z	1
uto √	®	1
utto 	d	1
uttos	t	2
uzion	e	1
u√≤ c	o	1
u√≤ p	e	1
va ee	g	1
vali 	d	1	t	1
vali:	 	1
valii	a	1	e	1
vasio	n	1
ve Co	m	1
ve. O	g	1
vece 	l	1
vembr	e	1
verno	"	1
versa	r	1
versi	 	3
vide 	a	1
vieti	c	3
voci 	e	1
volte	s	1
vvers	a	1
wikiq	u	1
yceps	 	1
ynark	a	1
za Cr	e	1
zato 	a	1
ze na	v	1
zialm	e	1
ziona	l	1	r	1
zione	 	2
zioni	 	3
zo de	l	1
zone 	c	1
zzato	 	1
† leg	g	1
† nav	a	1
† nel	 	1
® con	s	1
® lib	e	1
® pub	b	1
® un 	f	1
® un'	e	1
® unn	b	1
≤ con	t	1
≤ per	t	1
π min	a	1
πripr	e	1
ππrip	r	1
√† le	g	1
√† na	v	1
√† ne	l	1
√® co	n	1
√® li	b	1
√® pu	b	1
√® un	 	1	'	1	n	1
√≤ co	n	1
√≤ pe	r	1
√π mi	n	1
√ππri	p	1
